Age,Gender,Course,Year,Marital Status,Grade,How often have you felt down or hopeless?,"How often have you had trouble falling or staying asleep, or slept too much?",How often have you felt tired or had little energy?,"How often have you felt nervous, anxious, or on edge?",How often have you become easily annoyed or irritable?,How frequently do you experience panic attacks?,"On average, how many hours per day do you spend on social media?",How many alcoholic drinks/beer do you consume in a typical week?,How many hours of sleep do you usually get on a typical night?,How many hours a day do you put aside for studying?
17,Male,Computer Science ,Post Graduate,Single,Second Class Lower,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Occasionally,3-4 hours,0,5-6 hours,5-6 hours
24,Female,Computer science ,Third Year,Single,Second Class Lower,Occasionally,Almost constantly,Frequently,Occasionally,Sometimes,Never,5-6 hours,0,5-6 hours,3-4 hours
23,Male,EEE,Fourth Year,Single,Second Class Lower,Frequently,Not at all?,Occasionally,Occasionally,Sometimes,Never,7-8 hours,0,5-6 hours,0
22,Female,Science Education ,Third Year,Single,First Class,Occasionally,Almost constantly,Occasionally,Almost constantly,Sometimes,Occasionally,0-2 hours,1 to 2,7-8 hours,0
25,Male,Engineering ,Fourth Year,Single,First Class,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Occasionally,7-8 hours,0,5-6 hours,1-2 hours
28,Female,Computer science,Third Year,Single,First Class,Occasionally,Almost constantly,Occasionally,Almost constantly,Sometimes,Frequently,3-4 hours,7 or more,7-8 hours,1-2 hours
29,Male,Chemistry ,Fourth Year,Single,First Class,Frequently,Frequently,Almost constantly,Occasionally,Sometimes,Rarely,5-6 hours,0,5-6 hours,1-2 hours
23,Female,Sociology ,Fifth Year,Single,Second Class Upper,Occasionally,Frequently,Almost constantly,Frequently,Sometimes,Occasionally,5-6 hours,0,5-6 hours,1-2 hours
18,Female,Health science ,Second Year,Single,Second Class Upper,Occasionally,Not at all?,Not at all,Occasionally,Sometimes,Occasionally,5-6 hours,0,5-6 hours,3-4 hours
24,Male,Env sci,Third Year,Single,First Class,Occasionally,Almost constantly,Frequently,Occasionally,Sometimes,,5-6 hours,0,5-6 hours,5-6 hours
23,Female,Computer science ,Fourth Year,Single,Second Class Upper,Frequently,Almost constantly,Almost constantly,Occasionally,Sometimes,,3-4 hours,0,5-6 hours,3-4 hours
19,Female,Computer Science ,First Year,Single,Second Class Lower,Occasionally,Frequently,Occasionally,Occasionally,Sometimes,Frequently,5-6 hours,0,9 or more hours,1-2 hours
23,Female,Sociology ,Fifth Year,Single,First Class,Occasionally,Occasionally,Frequently,Almost constantly,Sometimes,Occasionally,5-6 hours,5 to 6,7-8 hours,5-6 hours
19,Female,Library and Information Science ,Second Year,Single,First Class,Almost constantly,Not at all?,Occasionally,Occasionally,Sometimes,Never,5-6 hours,0,5-6 hours,3-4 hours
18,Male,Sociology ,Second Year,Married,Second Class Lower,Frequently,Almost constantly,Occasionally,Occasionally,,,3-4 hours,0,,1-2 hours
19,Female,Psychology,Fourth Year,Single,Second Class Upper,Occasionally,Almost constantly,Occasionally,Occasionally,Sometimes,Frequently,5-6 hours,0,7-8 hours,1-2 hours
28,Female,Computer science ,Fourth Year,Single,Second Class Upper,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Never,7-8 hours,0,5-6 hours,3-4 hours
28,Female,Information and communication engineering ,Third Year,Single,Second Class Upper,Occasionally,Frequently,Frequently,Almost constantly,Never,Occasionally,5-6 hours,0,5-6 hours,1-2 hours
21,Female,Human nutrition and dietetics ,Second Year,Single,First Class,Occasionally,Occasionally,Almost constantly,Frequently,Sometimes,Rarely,,0,5-6 hours,3-4 hours
24,Male,Computer Science ,Post Graduate,Single,Second Class Upper,Occasionally,Frequently,Occasionally,Occasionally,Sometimes,Rarely,5-6 hours,0,5-6 hours,1-2 hours
22,Male,Computer science ,First Year,Single,First Class,Occasionally,Almost constantly,Almost constantly,Occasionally,Sometimes,Occasionally,3-4 hours,1 to 2,Less than 5 hours,5-6 hours
24,Female,Material sci engineering ,Post Graduate,Single,Second Class Upper,Occasionally,Not at all?,Not at all,Occasionally,Sometimes,Never,7-8 hours,0,5-6 hours,0
17,Male,Medical laboratory science,First Year,Single,Second Class Lower,Occasionally,Almost constantly,Occasionally,Frequently,Sometimes,Frequently,5-6 hours,0,5-6 hours,3-4 hours
21,Female,Nursing ,First Year,Single,Second Class Upper,Occasionally,Not at all?,Occasionally,Occasionally,Always,Occasionally,3-4 hours,0,5-6 hours,0
24,Female,Fine arts and design ,,Single,First Class,Occasionally,Frequently,Frequently,Frequently,Sometimes,Occasionally,5-6 hours,0,Less than 5 hours,0
28,Male,Sociology ,First Year,Single,Second Class Upper,Frequently,Almost constantly,Frequently,Occasionally,Sometimes,Never,7-8 hours,3 to 4,5-6 hours,1-2 hours
22,Male,Computer science ,First Year,Single,First Class,Almost constantly,Occasionally,Occasionally,Occasionally,Sometimes,Never,5-6 hours,0,5-6 hours,3-4 hours
21,Female,Medical laboratory science ,Post Graduate,Single,First Class,Occasionally,Frequently,Almost constantly,Occasionally,Sometimes,Never,3-4 hours,0,7-8 hours,0
20,Male,Medical laboratory science,Fifth Year,Single,First Class,Occasionally,Frequently,Occasionally,Frequently,Sometimes,Rarely,5-6 hours,0,5-6 hours,0
54,Female,Sociology ,Post Graduate,Single,Second Class Upper,Occasionally,Occasionally,Occasionally,Frequently,Sometimes,Occasionally,9-10 hours,0,5-6 hours,3-4 hours
20,Female,Biology ,Second Year,Single,Second Class Upper,Occasionally,Not at all?,Almost constantly,Occasionally,Sometimes,Occasionally,5-6 hours,0,Less than 5 hours,7 and above
40,Female,Sociology ,Fourth Year,Single,Second Class Lower,Frequently,Occasionally,Occasionally,Occasionally,Sometimes,Rarely,7-8 hours,0,5-6 hours,5-6 hours
25,Male,Literature ,Fifth Year,Single,First Class,Occasionally,Not at all?,Not at all,Occasionally,Always,Never,3-4 hours,0,7-8 hours,1-2 hours
21,Male,Chemistry ,Third Year,Single,Second Class Lower,Occasionally,Frequently,Frequently,Occasionally,Sometimes,Never,10 or more,0,7-8 hours,3-4 hours
19,Female,Computer Engineering ,Second Year,Single,First Class,Occasionally,Almost constantly,Occasionally,Frequently,,Occasionally,5-6 hours,0,7-8 hours,1-2 hours
29,Male,Economics ,Third Year,Single,First Class,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Frequently,5-6 hours,0,5-6 hours,3-4 hours
20,Male,Computer Science,Fourth Year,Single,Second Class Upper,Almost constantly,Occasionally,Occasionally,Not at all,Sometimes,Never,3-4 hours,0,5-6 hours,1-2 hours
22,Female,Nursing ,Third Year,Single,Second Class Upper,Occasionally,Frequently,,Occasionally,Always,Frequently,10 or more,0,5-6 hours,0
19,Female,IT,Third Year,Single,Second Class Upper,Occasionally,Frequently,Frequently,Occasionally,Sometimes,Never,0-2 hours,0,7-8 hours,0
21,Female,Computer engineering??,Third Year,Single,Pass,Occasionally,Almost constantly,Frequently,Frequently,Sometimes,Never,3-4 hours,0,5-6 hours,0
25,Female,Sociology ,Second Year,Single,Second Class Upper,Occasionally,Not at all?,Occasionally,Occasionally,Sometimes,Rarely,5-6 hours,0,7-8 hours,3-4 hours
21,Male,Computer Science,First Year,Single,Second Class Lower,Occasionally,Almost constantly,Almost constantly,Occasionally,,,5-6 hours,,7-8 hours,3-4 hours
